sourceID,sourceAddress,sourceType,sourceLocation,destinationServiceAddress,destinationServiceType,destinationLocation,accessedNodeAddress,accessedNodeType,operation,value,timestamp,normality
lightcontrol2,/agent2/lightcontrol2,/lightControler,BedroomParents,/agent2/lightcontrol2,/lightControler,BedroomParents,/agent2/lightcontrol2,/lightControler,registerService,none,1520031600000,normal
lightcontrol3,/agent3/lightcontrol3,/lightControler,Dinningroom,/agent3/lightcontrol3,/lightControler,Dinningroom,/agent3/lightcontrol3,/lightControler,registerService,none,1520031603269,normal
lightcontrol1,/agent1/lightcontrol1,/lightControler,BedroomChildren,/agent1/lightcontrol1,/lightControler,BedroomChildren,/agent1/lightcontrol1,/lightControler,registerService,none,1520031603279,normal
lightcontrol4,/agent4/lightcontrol4,/lightControler,Kitchen,/agent4/lightcontrol4,/lightControler,Kitchen,/agent4/lightcontrol4,/lightControler,registerService,none,1520031603290,normal
movement4,/agent4/movement4,/movementSensor,Kitchen,/agent4/movement4,/movementSensor,Kitchen,/agent4/movement4,/movementSensor,registerService,none,1520031603464,normal
tempin2,/agent2/tempin2,/sensorService,BedroomParents,/agent2/tempin2,/sensorService,BedroomParents,/agent2/tempin2,/sensorService,registerService,none,1520031603464,normal
movement2,/agent2/movement2,/movementSensor,BedroomParents,/agent2/movement2,/movementSensor,BedroomParents,/agent2/movement2,/movementSensor,registerService,none,1520031603474,normal
tempin4,/agent4/tempin4,/sensorService,Kitchen,/agent4/tempin4,/sensorService,Kitchen,/agent4/tempin4,/sensorService,registerService,none,1520031603474,normal
tempin1,/agent1/tempin1,/sensorService,BedroomChildren,/agent1/tempin1,/sensorService,BedroomChildren,/agent1/tempin1,/sensorService,registerService,none,1520031603484,normal
movement1,/agent1/movement1,/movementSensor,BedroomChildren,/agent1/movement1,/movementSensor,BedroomChildren,/agent1/movement1,/movementSensor,registerService,none,1520031604212,normal
movement3,/agent3/movement3,/movementSensor,Dinningroom,/agent3/movement3,/movementSensor,Dinningroom,/agent3/movement3,/movementSensor,registerService,none,1520031604212,normal
tempin3,/agent3/tempin3,/sensorService,Dinningroom,/agent3/tempin3,/sensorService,Dinningroom,/agent3/tempin3,/sensorService,registerService,none,1520031604233,normal
movement5,/agent5/movement5,/movementSensor,Garage,/agent5/movement5,/movementSensor,Garage,/agent5/movement5,/movementSensor,registerService,none,1520031609757,normal
lightcontrol5,/agent5/lightcontrol5,/lightControler,Garage,/agent5/lightcontrol5,/lightControler,Garage,/agent5/lightcontrol5,/lightControler,registerService,none,1520031616953,normal
tempin5,/agent5/tempin5,/sensorService,Garage,/agent5/tempin5,/sensorService,Garage,/agent5/tempin5,/sensorService,registerService,none,1520031625706,normal
tempin3,/agent3/tempin3,/sensorService,Dinningroom,/agent3/tempin3,/sensorService,Dinningroom,/agent3/tempin3,/sensorService,write,20.0464,1520031634378,normal
movement3,/agent3/movement3,/movementSensor,Dinningroom,/agent3/movement3,/movementSensor,Dinningroom,/agent3/movement3/movement,/derived/boolean,write,1,1520031636879,normal
movement6,/agent6/movement6,/movementSensor,Bathroom,/agent6/movement6,/movementSensor,Bathroom,/agent6/movement6,/movementSensor,registerService,none,1520031637914,normal
lightcontrol6,/agent6/lightcontrol6,/lightControler,Bathroom,/agent6/lightcontrol6,/lightControler,Bathroom,/agent6/lightcontrol6,/lightControler,registerService,none,1520031638755,normal
movement3,/agent3/movement3,/movementSensor,Dinningroom,/agent3/movement3,/movementSensor,Dinningroom,/agent3/movement3/lastChange,/basic/number,write,1521216755210,1520031638765,normal
movement10,/agent10/movement10,/movementSensor,Livingroom,/agent10/movement10,/movementSensor,Livingroom,/agent10/movement10,/movementSensor,registerService,none,1520031645438,normal
tempin6,/agent6/tempin6,/sensorService,Bathroom,/agent6/tempin6,/sensorService,Bathroom,/agent6/tempin6,/sensorService,registerService,none,1520031645438,normal
